"","Destination","Plan ID"
"1","WSSS <U+2192> WMKM","/plan/233924"
"2","WSSS <U+2192> WMKM","/plan/753570"
"3","WSSS <U+2192> WMKM","/plan/645800"
"4","WSSS <U+2192> WMKM","/plan/1258655"
"5","WSSS <U+2192> WMKM","/plan/1258658"
"6","WSSS <U+2192> WMKM","/plan/1258666"
"7","WMKM <U+2192> WSSS","/plan/1314669"
"8","WSSS <U+2192> WMKM","/plan/1372701"
"9","WSSS <U+2192> WMKM","/plan/1406918"
"10","WSSS <U+2192> WIKK","/plan/789526"
"11","WIKK <U+2192> WSSS","/plan/145290"
"12","WIBS <U+2192> WSSS","/plan/193442"
"13","WMBT <U+2192> WSSS","/plan/145298"
"14","WSSS <U+2192> WMBT","/plan/379689"
"15","WSSS <U+2192> WMBT","/plan/395844"
"16","WSSS <U+2192> WMBT","/plan/1326275"
"17","WSAT <U+2192> WSSS","/plan/55815"
"18","WMAP <U+2192> WSSS","/plan/32042"
"19","WIDN <U+2192> WSSS","/plan/145296"
"20","WSSS <U+2192> WIDN","/plan/578879"
"21","WIBT <U+2192> WSSS","/plan/145297"
"22","WSSS <U+2192> WIBT","/plan/635215"
"23","WMKJ <U+2192> WSSS","/plan/1319617"
"24","WMKJ <U+2192> WSSS","/plan/2181"
"25","WSAP <U+2192> WSSS","/plan/1196734"
"26","WSAP <U+2192> WSSS","/plan/1196777"
"27","WIDD <U+2192> WSSS","/plan/1235125"
"28","WMKJ <U+2192> WSSS","/plan/32040"
"29","WSSS <U+2192> WMKJ","/plan/15103"
"30","WMKJ <U+2192> WSSS","/plan/327687"
"31","WMKJ <U+2192> WSSS","/plan/780589"
"32","WSSS <U+2192> WMKJ","/plan/1032292"
"33","WMKJ <U+2192> WSSS","/plan/1090405"
"34","WMKJ <U+2192> WSSS","/plan/400009"
"35","WSSS <U+2192> WMKJ","/plan/804024"
"36","WMKJ <U+2192> WSSS","/plan/804028"
"37","WSSS <U+2192> WMKJ","/plan/882405"
"38","WSSS <U+2192> WMKJ","/plan/191105"
"39","WSSS <U+2192> WMKJ","/plan/280729"
"40","WSSS <U+2192> WMKJ","/plan/133275"
